doc_type,source_id,file_name,path_text,page_start,page_end,text_preview,embedding_preview
leaf,1.FCM內控-總則---114.04::3.1,1.FCM內控-總則---114.04.md,三、 > (一),2,2,文件 1.FCM內控-總則---114.04.md  三、 各期貨商訂立內部控制制度時，應於總則部分至少敘明下列事項：  (一) 訂定依據(請參閱期貨商管理規則第二條之規定),"[-0.005586175713688135, -0.0306085292249918, -0.05951464921236038, 0.004275532905012369, -0.00413021445274353, -0.031050102785229683, -0.020022211596369743, 0.0005158557905815542]"
leaf,1.FCM內控-總則---114.04::3.2,1.FCM內控-總則---114.04.md,三、 > (二),2,2,文件 1.FCM內控-總則---114.04.md  三、 各期貨商訂立內部控制制度時，應於總則部分至少敘明下列事項：  (二) 內部控制制度之定義,"[-0.019514577463269234, -0.025226207450032234, -0.06197496876120567, 0.0007218739483505487, -0.010255936533212662, -0.024587171152234077, -0.012851353734731674, 0.017940055578947067]"
leaf,1.FCM內控-總則---114.04::3.3,1.FCM內控-總則---114.04.md,三、 > (三),2,2,文件 1.FCM內控-總則---114.04.md  三、 各期貨商訂立內部控制制度時，應於總則部分至少敘明下列事項：  (三) 內部控制之組成要素,"[0.0004990207962691784, -0.012370452284812927, -0.0666438564658165, -0.007142406422644854, -0.0064775943756103516, -0.016251351684331894, 0.00048184202751144767, 0.019000228494405746]"
leaf,1.FCM內控-總則---114.04::3.4,1.FCM內控-總則---114.04.md,三、 > (四),2,2,文件 1.FCM內控-總則---114.04.md  三、 各期貨商訂立內部控制制度時，應於總則部分至少敘明下列事項：  (四) 公司組織結構與部門職掌,"[-0.004955296404659748, -0.009638889692723751, -0.060119375586509705, -0.0014464894775301218, -0.005931899882853031, -0.018003346398472786, -0.008730610832571983, 0.003192886710166931]"
leaf,1.FCM內控-總則---114.04::3.5,1.FCM內控-總則---114.04.md,三、 > (五),2,2,文件 1.FCM內控-總則---114.04.md  三、 各期貨商訂立內部控制制度時，應於總則部分至少敘明下列事項：  (五) 業務經營原則與方針,"[0.006899959407746792, -0.04605203866958618, -0.05779543146491051, 0.0011653050314635038, -0.013533703051507473, -0.01902655139565468, -0.016338614746928215, 0.006567370146512985]"
leaf,1.FCM內控-總則---114.04::3.6,1.FCM內控-總則---114.04.md,三、 > (六),2,2,文件 1.FCM內控-總則---114.04.md  三、 各期貨商訂立內部控制制度時，應於總則部分至少敘明下列事項：  (六) 內部控制制度之內容,"[-0.0030608365777879953, -0.020263491198420525, -0.0531916543841362, -0.010089002549648285, -0.014842234551906586, -0.026452867314219475, -0.006958868820220232, 0.010255838744342327]"
leaf,1.FCM內控-總則---114.04::3.7,1.FCM內控-總則---114.04.md,三、 > (七),2,2,文件 1.FCM內控-總則---114.04.md  三、 各期貨商訂立內部控制制度時，應於總則部分至少敘明下列事項：  (七) 內部控制制度之設計,"[-0.016138164326548576, -0.009183740243315697, -0.06033558025956154, -0.0014478343073278666, -0.009974912740290165, -0.018743131309747696, -0.012097524479031563, 0.01646922528743744]"
leaf,1.FCM內控-總則---114.04::3.8,1.FCM內控-總則---114.04.md,三、 > (八),2,2,文件 1.FCM內控-總則---114.04.md  三、 各期貨商訂立內部控制制度時，應於總則部分至少敘明下列事項：  (八) 內部稽核目的,"[0.001399648142978549, -0.04198605194687843, -0.06774214655160904, -0.007273864466696978, -0.003799028694629669, -0.019315579906105995, -0.01491532288491726, -0.01911493018269539]"
leaf,1.FCM內控-總則---114.04::3.9,1.FCM內控-總則---114.04.md,三、 > (九),2,2,文件 1.FCM內控-總則---114.04.md  三、 各期貨商訂立內部控制制度時，應於總則部分至少敘明下列事項：  (九) 內部稽核作業適用範圍,"[0.0024436465464532375, -0.01452934741973877, -0.06241452693939209, 0.011358708143234253, -0.006947732530534267, -0.021196238696575165, -0.01954958215355873, -0.013815362006425858]"
leaf,1.FCM內控-總則---114.04::3.10,1.FCM內控-總則---114.04.md,三、 > (十),2,2,文件 1.FCM內控-總則---114.04.md  三、 各期貨商訂立內部控制制度時，應於總則部分至少敘明下列事項：  (十) 內部稽核之職能,"[0.012256759218871593, -0.015478667803108692, -0.05619312450289726, -0.0037550926208496094, -0.0033979692962020636, -0.02237016335129738, -0.0009271415765397251, -0.0076816813088953495]"
